epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.996,0.57403,2.56946,1.33765,0.89242,0.431,0.90964,0.83883,0.47537,2.60842,0.76332,0.00054409,0.00054409,0.00054409
2,230.904,0.25458,1.43565,0.96346,0.6931,0.90016,0.97326,0.90149,0.40087,1.56226,0.70428,0.000990881,0.000990881,0.000990881
3,344.659,0.21446,1.20333,0.92164,0.96008,0.94722,0.98046,0.9716,0.30418,1.08083,0.60889,0.00132765,0.00132765,0.00132765
4,460.162,0.19833,1.08279,0.92702,0.81743,0.78244,0.7933,0.74846,0.40078,1.76392,0.67725,0.0011719,0.0011719,0.0011719
5,587.761,0.19819,1.0732,0.90623,0.95865,0.93396,0.9823,0.9792,0.30034,0.944,0.62034,0.00100687,0.00100687,0.00100687
6,724.643,0.17053,0.89137,0.89318,0.96296,0.92223,0.98042,0.97618,0.27045,0.88249,0.58371,0.000841835,0.000841835,0.000841835
7,836.788,0.16693,0.78223,0.90118,0.94714,0.94975,0.98427,0.98394,0.2975,0.72816,0.56498,0.000676802,0.000676802,0.000676802
8,959.128,0.15064,0.71809,0.88799,0.95688,0.94522,0.98905,0.98905,0.26731,0.69122,0.5207,0.000511769,0.000511769,0.000511769
9,1108.17,0.12204,0.65458,0.86445,0.98231,0.94821,0.99131,0.99131,0.21049,0.6507,0.49849,0.000346736,0.000346736,0.000346736
10,1220.38,0.09954,0.58934,0.86294,0.96212,0.95106,0.98953,0.989,0.19114,0.61843,0.49167,0.000181703,0.000181703,0.000181703
